SL NO |DIST|PROJ|CIRC|CENTREID|CENTRE CODE|CENTRE|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70
50|Bangalore|Bangalore central |Kuvempunagar 4th Circle||NO CODE|BRI COLONY|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
51|Bangalore|Bangalore central |Netaji 2nd Circle|34153||MUSLIMS HUTS|1|0|0|0|0|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
52|Bangalore|Bangalore central |Netaji 2nd Circle||AN001539|KASTURI BA NGARA 2|1|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
53|Bangalore|Bangalore central |Netaji 2nd Circle|34090||DEVARAJ ARASU NAGAR|1|0|0|0|0|1|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
54|Bangalore|Bangalore central |Netaji 2nd Circle|34086||BASAVESHVARA SEVA SANGA|1|0|0|0|0|0|1|0|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
55|Bangalore|Bangalore central |Netaji 2nd Circle|34102||BASAVESHVARA SEVA SANGA 2|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|1|1|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
56|Bangalore|Bangalore central |Netaji 2nd Circle||AN001620|VITALA NAGARA|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
57|Bangalore|Bangalore central |Netaji 2nd Circle||AN00519|V S GARDEN 2|1|0|1|1|0|0|0|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|0|0|0|1|1|1|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|1|1|0|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|NA|NA
58|Bangalore|Bangalore central |Netaji 2nd Circle||AN00528|V S GARDEN 1|1|0|1|1|0|1|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|1|0|0|1|1|1|1|1|0|0|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
59|Bangalore|Bangalore central |Netaji 2nd Circle||AN001512|MUSLIM BARIYAL GROUND 2|0|0|0|0|0|1|1|1|1|1|1|1|1|0|0|0|0|0|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|0|0|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
60|Bangalore|Bangalore central |Netaji 2nd Circle||AN002872|NAGARAKALU|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
61|Bangalore|Bangalore central |Netaji 2nd Circle||AN00409|WALMIKINAGAR 1|1|0|0|1|0|1|1|1|1|1|1|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|0|0|0|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
62|Bangalore|Bangalore central |Netaji 2nd Circle||AN00409|WALMIKINGAR 2|1|0|1|1|0|1|1|1|1|1|1|0|0|0|0|0|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0
63|Bangalore|Bangalore central |Netaji 2nd Circle||AN001611|WALMIKINAGAR 3RD CENATER|1|0|0|1|0|1|1|1|1|1|1|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
64|Bangalore|Bangalore central |Netaji 2nd Circle||AN001617|WALMIKINAGAR 4|0|0|0|1|0|1|1|1|1|1|1|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|0|0|1|1|1|1|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
65|Bangalore|Bangalore central |Netaji 2nd Circle|34101||JAGAJIVANRAMNAGAR|1|0|0|1|0|1|1|1|1|1|1|1|1|0|0|0|0|1|1|1|0|1|0|0|1|1|1|1|0|0|0|0|0|0|1|0|1|1|1|1|0|1|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|0|1|0|0|0
66|Bangalore|Bangalore central |Netaji 2nd Circle||AN001621|AZADNAGAR|1|0|0|0|0|1|1|1|1|1|0|1|0|0|0|0|0|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
67|Bangalore|Bangalore central |Netaji 2nd Circle||AN00413|PADRAYANPURA 1|1|0|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
68|Bangalore|Bangalore central |Netaji 2nd Circle||AN001583|PADRAYANPURA 2|0|0|1|0|0|1|1|1|1|1|1|0|0|0|0|0|0|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|1|0|1|0|0|1|1|1|1|1|1|1|1|1|1|0|0
69|Bangalore|Bangalore central |Netaji 2nd Circle||AN00504|PADRAYANAPURA 3|1|0|0|0|0|1|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
70|Bangalore|Bangalore central |Netaji 2nd Circle||AN001633|VEERANJENEYA SEVA SANGHA 2|1|0|1|0|0|1|1|1|1|1|0|1|0|0|0|0|0|1|1|1|0|0|0|0|1|1|1|1|0|0|0|0|0|0|0|1|1|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|0|0
