School_Code|Building_Status|Tot_Clrooms|Classrooms_in_Good_Condition|Classrooms_require_major_repair|Classrooms_require_minor_repair|Other_rooms_in_Good_Cond|Other_rooms_need_major_rep|Other_rooms_need_minor_rep|Toilet_Common|Toilet_Boys|Toilet_Girls|Kitchen_Devices_Grant|Status_of_MDM|Computer_Aided_Learnin_Lab|Separate_Room_for_HeadMaster|Electricity|Boundary_Wall|Library_YN|PlayGround|Blackboard|Books_in_library|Drinking_Water|Medical_Checkup|Ramps|No_of_Computers|Male_Tch|Female_Tch|NoResp_Tch|Head_Teacher|Graduate_Teachers|Tch_with_professional_Qualification|Days_involved_in_non_tch_assgn|Teachers_involved_in_non_tch_assgn
29031210101|3|7|4|1|2|1|0|0|0|1|1|2|3|1|1|1|2|1|1|7|1380|3|1|1|2|4|2|0|0|0|0|90|2
29180805905|1|3|2|1|0|4|0|0|1|1|1|2|2|2|1|1|3|1|1|3|1250|3|1|2|0|6|1|0|0|0|0|0|0
29260819901|3|1|1|0|0|1|0|0|1|1|1|1|3|2|2|1|1|1|2|2|242|3|1|2|0|0|2|0|0|0|0|0|0
29260402901|3|5|0|4|0|0|2|0|0|1|1|2|3|2|1|1|2|1|1|5|1222|1|1|1|0|3|1|0|0|0|0|0|0
29260423001|3|5|5|0|0|2|0|0|0|1|2|1|3|2|2|1|1|1|1|8|1153|3|1|1|2|3|2|0|0|0|0|0|0
29261121301|3|2|1|1|0|1|1|0|1|1|1|1|3|2|2|1|1|1|2|8|120|3|1|1|0|1|2|0|0|0|3|0|0
29260401809|1|2|2|0|0|1|0|0|0|1|1|2|1|1|1|1|3|1|2|3|1|3|1|2|3|3|1|0|0|0|0|0|0
29190715601|3|4|4|0|0|1|0|0|0|1|1|1|3|2|2|1|1|1|2|5|175|4|1|2|0|3|2|0|0|0|0|0|0
29200138004|1|7|7|0|0|2|0|0|0|1|1|2|1|1|1|1|1|1|1|1|100|2|2|1|4|1|1|0|0|0|0|0|0
29310417202|3|2|0|2|0|0|1|0|0|1|1|1|3|2|2|1|7|1|2|4|246|3|1|2|0|1|1|0|0|0|0|0|0
29030308403|3|6|0|3|3|0|1|0|0|1|1|1|3|2|1|1|7|1|1|8|1200|3|1|1|0|4|2|0|0|0|0|0|0
29190737705|3|2|2|0|0|2|0|0|0|1|1|1|3|2|2|1|5|1|2|4|79|4|1|1|0|0|3|0|0|0|0|0|0
29190703901|3|4|2|2|0|0|1|0|0|2|1|1|3|2|2|1|1|1|1|4|550|3|2|2|0|1|4|0|0|0|0|0|0
29190719201|3|3|1|0|2|0|1|0|0|1|1|1|3|2|2|1|4|1|2|5|350|3|1|2|0|3|1|0|0|0|0|6|2
29170304501|3|4|4|0|0|1|0|0|0|1|1|1|3|2|2|1|3|1|1|6|620|3|1|1|0|4|0|0|0|0|0|0|0
29191023104|3|3|3|0|0|1|0|0|0|1|1|2|3|2|2|1|1|2|1|2|0|3|1|1|0|1|1|0|0|0|0|0|0
29290405405|4|3|3|0|0|3|0|0|0|1|1|2|3|2|1|1|5|1|1|5|2000|3|1|2|0|5|1|0|0|2|5|0|0
29220201819|1|7|5|0|0|3|0|0|0|1|1|2|1|2|1|2|5|1|1|14|500|1|1|1|1|0|8|0|0|0|1|0|0
29220303901|3|5|4|1|0|1|0|0|1|1|1|1|3|1|2|1|5|1|2|5|1160|3|1|1|5|3|2|0|0|0|0|14|1
29150501209|1|4|4|0|0|1|0|0|1|1|1|9|1|2|1|1|5|2|1|4|0|4|2|1|0|2|1|0|0|0|3|0|0
29031018202|2|10|10|0|0|0|0|0|0|1|1|2|1|2|1|1|5|1|2|6|220|3|1|2|0|1|4|0|0|0|0|0|0
29310421102|3|2|1|1|0|2|0|0|0|1|1|1|3|2|2|1|5|1|2|3|400|3|1|2|0|1|0|0|0|0|0|0|0
29310420601|3|2|2|0|0|1|0|0|0|1|1|1|3|2|2|1|6|1|1|2|380|3|1|2|0|2|0|0|0|0|0|0|0
29200111176|1|12|12|0|0|8|0|0|0|1|8|2|3|2|1|1|1|1|1|12|2500|3|2|1|10|5|13|0|1|0|0|0|0
29191033003|3|4|4|0|0|1|0|0|0|1|1|2|3|1|1|1|5|1|1|4|1125|3|1|2|10|4|2|0|0|0|0|0|0
29191002201|3|3|0|2|1|1|0|0|0|1|1|1|3|2|1|1|2|1|1|2|583|3|1|1|0|1|1|0|0|0|0|0|0
29080103505|1|9|9|0|0|3|0|0|1|1|1|2|2|1|1|1|5|1|1|4|500|1|1|2|1|0|6|0|0|0|0|0|0
29170715802|3|7|4|0|3|2|1|0|1|2|2|1|3|1|1|1|1|1|1|12|3571|3|1|1|6|4|4|0|0|0|1|20|2
29280707704|1|11|11|0|0|4|0|0|0|9|10|2|0|1|1|1|1|1|1|11|500|3|1|2|11|0|7|0|0|0|0|0|0
29140405201|3|7|0|0|7|1|0|2|0|1|1|1|3|2|2|1|7|1|1|10|4270|4|1|1|0|1|8|0|0|0|0|0|0
29290403801|3|2|0|1|1|0|1|0|0|1|1|1|3|2|1|1|4|1|2|2|260|3|1|2|0|3|0|0|0|0|0|0|0
29290425901|3|2|0|1|1|1|0|0|0|1|2|2|3|2|2|1|1|1|2|2|250|3|1|2|0|1|1|0|0|0|0|0|0
29130407901|3|2|2|0|0|0|0|0|0|1|1|1|3|2|2|1|3|1|1|2|184|3|1|1|0|2|0|0|0|0|0|0|0
29040600702|3|6|5|0|1|0|0|1|1|1|1|2|3|2|1|1|1|1|1|8|250|4|1|1|0|2|6|0|0|0|0|0|0
29160401003|3|8|0|8|0|0|2|0|3|0|8|1|2|2|2|1|5|1|1|10|1852|2|1|2|10|6|3|0|0|0|0|0|0
29031302201|3|9|5|1|3|0|0|1|0|1|1|1|3|2|2|1|1|1|2|10|2000|4|1|1|0|7|1|0|0|0|0|0|0
29031300902|3|13|13|0|0|0|2|0|0|0|2|1|3|2|1|1|1|1|2|13|2911|1|1|1|2|7|6|0|0|0|0|0|0
29060702516|3|1|1|0|0|1|0|0|0|1|1|1|3|2|2|1|5|1|2|2|3|4|1|2|0|1|1|0|0|0|0|0|0
29080603310|1|9|9|0|0|10|0|0|1|3|3|2|2|1|1|1|1|1|1|9|7670|3|1|2|24|15|3|0|0|0|0|0|0
29080604602|3|6|6|0|0|2|2|0|1|1|1|1|3|2|1|1|1|1|1|6|500|3|1|1|0|4|4|0|0|1|0|0|0
29130500901|3|2|0|2|0|0|0|0|0|1|1|2|3|2|2|1|5|1|1|2|128|1|1|1|0|2|0|0|0|0|0|0|0
29130212702|3|2|2|0|0|1|0|0|0|1|1|2|3|2|1|1|5|1|2|4|185|4|1|1|0|0|2|0|0|0|0|0|0
29020904306|3|5|5|0|0|1|0|0|0|1|1|2|3|2|1|1|5|1|1|5|58|4|1|1|0|4|2|0|0|0|0|0|0
29260305701|3|1|1|0|0|1|0|0|0|1|1|2|3|2|2|1|5|1|2|2|84|1|2|1|0|1|1|0|0|0|0|0|0
29260305713|4|3|3|0|0|3|0|0|0|1|8|2|3|2|2|1|1|2|1|3|0|1|1|2|0|9|2|0|0|0|1|0|0
29150409502|1|5|5|0|0|5|0|0|0|2|2|2|3|2|2|2|3|1|1|7|800|3|1|2|0|2|0|0|0|0|0|0|0
