District_Name|School_Code|School_Name|Block_Name|Cluster_Name|Village_Name|Pincode
YADAGIRI|29331003401|GOVT HPS DUPPALLI|YADGIR|KADECHUR|DUPPALLI|585221
YADAGIRI|29330824801|GOVT LPS GOJAGARDODDI|SHORAPUR|BANADODDI|GOJAGARDODDI|585285
YADAGIRI|29331003402|GOVT LPS URDU DUPPALLI|YADGIR|KADECHUR|DUPPALLI|585221
YADAGIRI|29331000401|GOVT LPS ANUR (B)|YADGIR|SAIDAPUR|ANUR [B]|585221
YADAGIRI|29331000501|GOVT HPS ANUR (K)|YADGIR|SAIDAPUR|ANUR [K]|585221
YADAGIRI|29331000701|GOVT HPS ARAKERA -K.|YADGIR|ARAKERA(K)|ARAKERA [K]|585321
YADAGIRI|29331000702|GOVT LPS ARAKERA (K) TANDA|YADGIR|ARAKERA(K)|ARAKERA [K]|585321
YADAGIRI|29331006602|GLPS URDU KILLANKERA|YADGIR|BALICHAKKAR|KILLANKERA|585221
YADAGIRI|29331006701|GOVT HPS KOILUR|YADGIR|YADGIR RURAL|KOILUR|585202
YADAGIRI|29331004802|GOVT LPS HEGGANAGERA|YADGIR|MALHAR|HEGGANGERA|585221
YADAGIRI|29331000901|GOVT HPS AZALAPUR|YADGIR|AZALAPUR|AZALAPUR|585315
YADAGIRI|29331000902|GOVT HPS URDU AZALAPUR|YADGIR|AZALAPUR|AZALAPUR|585315
YADAGIRI|29331004901|GOVT HPS HIMALPUR|YADGIR|CHAPELTA|HIMALPUR|585214
YADAGIRI|29331006905|GHS KONKAL|YADGIR|KONKAL|KONKAL|585321
YADAGIRI|29331006906|MORAJIDESAI KONAL|YADGIR|KONKAL|KONKAL|585214
YADAGIRI|29331004201|GOVT HPS GUDOOR|YADGIR|BADIYAL|GUDUR|585221
YADAGIRI|29331004701|GOVT HPS HEDGIMADRA|YADGIR|HEDGIMADRA|HEDGIMADRA|585202
YADAGIRI|29331007202|GOVT HPS KUDLUR|YADGIR|BALICHAKKAR|KUDLUR0|585221
YADAGIRI|29331007301|GOVT LPS KUNTI MARI|YADGIR|ANPUR|KUNTIMARI|585315
YADAGIRI|29331004702|GHS HEDAGIMADRA|YADGIR|HEDGIMADRA|HEDGIMADRA|585202
YADAGIRI|29331004902|GOVT LPS HIMALAPUR TANDA|YADGIR|CHAPELTA|HIMALPUR|585214
YADAGIRI|29331001402|GOVT HPS URDU BALCHED|YADGIR|BADIYAL|BALCHED|585221
YADAGIRI|29331007603|GOVT HPS  LINGERE|YADGIR|MALHAR|LINGERA|585202
YADAGIRI|29331007604|GHS LINGERI STN|YADGIR|MALHAR|LINGERA|585202
YADAGIRI|29331007605|GOVT MORARJI DESAI LINGERI STN|YADGIR|MALHAR|LINGERA|585202
YADAGIRI|29331007701|GOVT HPS MADAWAR|YADGIR|MADAWAR|MADHWAR|585315
YADAGIRI|29331007702|GHS MADAWAR|YADGIR|MADAWAR|MADHWAR|585315
YADAGIRI|29331007703|GOVT LPS URDU MADAWAR|YADGIR|MADAWAR|MADHWAR|585315
YADAGIRI|29331001506|GOVT LPS BALICHAKRA GATE|YADGIR|BALICHAKKAR|BALICHAKAR|585221
YADAGIRI|29331001507|GOVT LPS JALALPUR|YADGIR|BALICHAKKAR|BALICHAKAR|585221
YADAGIRI|29331007802|GOVT LPS MUGADAMPUR TANDA|YADGIR|KANDAKOOR|MAGADAMPUR|585321
YADAGIRI|29331007901|GOVT HPS MAILAPUR|YADGIR|ARAKERA(K)|MAILAPUR|585321
YADAGIRI|29331008002|GOVT HPS MALHAR|YADGIR|MALHAR|MALHAR|585221
YADAGIRI|29331001508|GOVT LPS BASALINGAPPA GUDI|YADGIR|BALICHAKKAR|BALICHAKAR|585221
YADAGIRI|29331004501|GOVT HPS HALLIGERA|YADGIR|ARAKERA(K)|HALAGERA|585321
