'HEIRARCHY','DISTRICT','PROJ/BLOCK','CIRCLE/CLUSTER','ID','SCHOOLNAME','CATEGORY_DESC','MP CONST.','MP NAME','MLA CONST.','MLA NAME','WARD','CORPORATOR',
'PRESCHOOL','BANGALORE','BANGALORE NORTH (YELAHANKA)','MAKALI',35481,'CHIKKA BIDREKALU','INDEPENDENT  BALWADI','BANGALORE NORTH','VEERAPPA MOILI','YALAHANKA','S.R VISHWANATH',156,'THIMA GOWDA',
'PRESCHOOL','BANGALORE','BANGALORE SOUTH(BANASHANKARI)','JEEVANBHIMA NAGAR',29637,'ISLAM PURA','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','BANGALORE SOUTH(BANASHANKARI)','JEEVANBHIMA NAGAR',29663,'ISLAM PURA 3 NEAR SOUT SCHOOL','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','NANDISH REDDY','K R PURAM',87,'SIDDALINGAIH',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','DODDA BANASWADI',34126,'SONNAPPA GARDEN 2','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','DODDA BANASWADI',34137,'SUGAR MANDI','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','DODDA BANASWADI',34117,'SONNAPPA GARDEN','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','DODDA BANASWADI',30450,'RAMASWAMIPALYA','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','DODDA BANASWADI',30224,'PERIYAR NAGARA 2','AKSHARA BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','DODDA BANASWADI',34129,'MUSLIM COLONY','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',,,
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','DODDA BANASWADI',29582,'JOSEP GARDEN','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',47,'SAMPATH RAJ',
'PRESCHOOL','BANGALORE','SUMANGALI SEVA ASHRAMA ','DODDA BANASWADI',34143,'MUSLIM COLONY 2','INDEPENDENT  BALWADI','BANGALORE NORTH','DB  CHANDRA GOWDA','PULIKESH NAGAR','PRASANA KUMAR',,,
