"heirarchy","district","proj/block","circle/cluster","ID","SCHOOLNAME","CATEGORY_DESC","MP Const.","MP Name","MLA Const.","MLA Name","WARD /GRAMA PANCHAYATHI","CORPORATOR/PRESNT of panchayithi"
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34036,"BYRAVESHWARA NAGARA","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",31418,"GANGONDHANAHALLI   2","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",33978,"BYATARAYANAPUR-I","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",35485,"GANGANDANA HALLI","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30650,"BAPUJINAGARA I","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30434,"CHOLUR PALYA 3","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30413,"G G HALLI","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",33979,"ARAFATHANAGAR-II","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",35478,"KALYAN NAGAR","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30399,"SHAMMANNA GARDEN PIPELANE RAILWAYGATE","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30439,"CHOLUR PALYA 4","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34098,"CHOLURPALAYA 1","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30379,"AVALAHALLI HOSABADAVANE","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30390,"SHAMMANNA GARDEN 5TH CROSS","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30334,"BYATARYAN PURA-II","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",33977,"KASTURABHANAGAR-I","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34044,"BAIRAVESHVARANAGARA","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",34097,"GANGUNDANAHALLI","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30433,"PANTHAR PALYA-I","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30425,"CHOLUR PALYA 1","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30429,"CHOLUR PALYA 2","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Sir M Vishweshwariah 1st Circle",30775,"T.R. SHAMANNA NAGARA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",31477,"NAGAMMA NAGAR","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",30449,"MARIYAPPANA PALYA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",31483,"NETAJINAGAR 2ND","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",34075,"BINNIPETE","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",35113,"KAMLANAGARA RESOURCE CENTER BRC 01","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",31478,"NETAJINAGARA 1","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",35112,"KAMALANAGAR 5","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","Bangalore central ","Triveni 5th Circle",34147,"J C NAGAR 4 TO BE DELETE","Independent  Balwadi",,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Abbigere",31260,"M.S. PALYA- 2","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Abbigere",30883,"KUVEMPUNAGAR II","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bagalu gunte",30777,"MARAMMALAKSHMIDEVASTHANA","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bagalu gunte",30782,"MARAMMALAKSHMIDEVASTHANA 2","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Bagalu gunte",30744,"TARABANAHALLI","Anganwadi",,,,,,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31503,"KADUYARAPPANAHALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA","B.K.HALLI PALYA",
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31538,"SINGAHALLI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",30858,"BAGLUR COLONY","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",33871,"CHAGALETTI","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",29710,"MARASANDRA","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
"PRESCHOOL","Bangalore","BANGALORE NORTH (Yelahanka)","Baglur",31493,"GOPAL PURA 1","Anganwadi","BENGALURU NORTH","D B CHANDREGOWDA","BYATARAYANAPURA","KRISHNABYREGOWDA",,
