'TYPE','DISTRICT','BLOCK','CLUSTER','ID','SCHOOLNAME','CATEGORY','MP CONSTITUENCY','MP NAME','MLA CONSTITUENCY','MLA NAME','WARD NAME','REPRESENTATIVE CORPORATER','WARD NO'
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',30417,'AYYAPPA SEVA SANGA 2',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',30423,'GORIPALYA',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',30428,'PADARAYANAPURA 4',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',30441,'PADRAYANPURA 5',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',30458,'ARAFATHNAGAR',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',30460,'ARAFATHNAGAR 1',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',31352,'MUSLIM BARIYAL GROUND',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',31358,'MUSLIM BARIYAL GROUND  XXXX',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',31484,'VINYAKA NAGAR',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',31527,'PADARAYANA PURA-3RD',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34063,'PADARAYANA PURA 2 ND',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34086,'BASVESHWAR SAVASANGA 1',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34087,'ARFATH NAGAR WEST',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34089,'ARFATH NAGAR',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34095,'KASTHURI BA SEVA SANGA',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','NETAJI 2ND CIRCLE',34101,'JAGAJEEVANARAMNAGARA',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','SIR M VISHWESHWARIAH 1ST CIRCLE',33979,'ARAFATHANAGAR-II',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','TRIVENI 5TH CIRCLE',31477,'NAGAMMA NAGAR',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','TRIVENI 5TH CIRCLE',31478,'NETAJINAGARA 1',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','TRIVENI 5TH CIRCLE',31483,'NETAJINAGAR 2ND',,'BANGALORE SOUTH','ANANTHKUMAR','VIJAYANAGARA','KRISHNAPPA','JJR NAGARA','SHEEMA KHANUM',136
'SCHOOL','BANGLORE  ','SOUTH-2','CHAMARAJPET',32124,'GKHPS JANATHA COLONY',,'BANGALORE SOUTH','ANANTHKUMAR','CHIKPETE','HEMACHANDRA SAGAR','K R MARKET','ASHWATH',139
'SCHOOL','BANGLORE  ','SOUTH-2','CHAMARAJPET',32136,'GTHPS BELIMUTT',,'BANGALORE SOUTH','ANANTHKUMAR','CHIKPETE','HEMACHANDRA SAGAR','K R MARKET','ASHWATH',139
'SCHOOL','BANGLORE  ','SOUTH-2','KALASIPALYA',32443,'GKMPS VIDYAGANAPATI ARALEPET',,'BANGALORE SOUTH','ANANTHKUMAR','CHIKPETE','HEMACHANDRA SAGAR','K R MARKET','ASHWATH',139
'SCHOOL','BANGLORE  ','SOUTH-2','KALASIPALYA',32447,'GUHPS KUMBARPET',,'BANGALORE SOUTH','ANANTHKUMAR','CHIKPETE','HEMACHANDRA SAGAR','K R MARKET','ASHWATH',139
'SCHOOL','BANGLORE  ','SOUTH-2','KALASIPALYA',32450,'GULPS TARAMANDALPET',,'BANGALORE SOUTH','ANANTHKUMAR','CHIKPETE','HEMACHANDRA SAGAR','K R MARKET','ASHWATH',139
'SCHOOL','BANGLORE  ','SOUTH-2','CHAMARAJPET',32129,'GTHPS OLD FORT',,'BANGALORE SOUTH','ANANTHKUMAR','CHAMRAJPETE','ZAMEER AHAMAD','CHAMARAJPETE','B V GANESH',140
'SCHOOL','BANGLORE  ','SOUTH-2','GOVINDARAJNAGAR',33088,'GKHPS MALGAL JANATHA COLONY',,'BANGALORE SOUTH','ANANTHKUMAR','CHAMRAJPETE','ZAMEER AHAMAD','CHAMARAJPETE','B V GANESH',140
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','GANGONDANAHALLI',30411,'AHMED NAGAR',,'BANGALORE SOUTH','ANANTHKUMAR','CHAMARAJPETE','ZAMEER AHAMAD','AZADNAGARA','GOWRAMMA',141
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',31394,'ANANDA PURAM-5',,'BANGALORE SOUTH','ANANTHKUMAR','CHAMARAJPETE','ZAMEER AHAMAD','AZADNAGARA','GOWRAMMA',141
'PRESCHOOL','BANGALORE','BANGALORE CENTRAL ','KITHURU RANI CHANNAMMA 3RD CIRCLE',31458,'ANANDA PURAM 5',,'BANGALORE SOUTH','ANANTHKUMAR','CHAMARAJPETE','ZAMEER AHAMAD','AZADNAGARA','GOWRAMMA',141
'PRESCHOOL','BANGALORE','BANGALORE STATE','BANASHANKARI',30418,'TILAK NAGAR',,'BANGALORE SOUTH','ANANTHKUMAR','JAYANAGARA','VIJAYAKUMAR','JAYANAGARA','GANGAMBIKE',153
'PRESCHOOL','BANGALORE','BANGALORE STATE','BANASHANKARI',30421,'TILAK NAGAR 1',,'BANGALORE SOUTH','ANANTHKUMAR','JAYANAGARA','VIJAYAKUMAR','JAYANAGARA','GANGAMBIKE',153
